KEY	SRR1554537	SRR1554538	SRR1554568	SRR1554535	SRR1554536	SRR1554539
64236	506	723	306	1292	1129	931
642361	598	438	488	29	54	81
642366	0	3	0	0	0	0
642394	3	10	0	49	3	74
6424	7	59	25	38	148	149
64240	51	76	82	60	16	132
642402	19	36	7	2	0	4
64241	28	62	63	109	20	152
642423	2	0	0	0	0	0
642426	0	0	0	0	0	0
642446	0	2	0	0	0	0
642475	0	0	0	0	0	0
642477	0	0	0	31	0	84
6425	1	27	2	78	8	96
642515	14	29	15	3	0	1
642517	1499	931	98	979	189	601
642559	30	46	50	19	0	14
642569	0	0	0	0	0	0
642574	0	0	0	0	0	0
642587	0	0	0	0	0	0
642597	210	1077	980	89	8	118
6426	33898	39721	33296	9313	3280	8217
642612	1	0	2	0	0	0
642623	0	0	0	0	0	0
642633	0	0	0	0	0	0
642636	6	5	4	32	3	5
642643	0	0	0	0	0	0
642658	289	275	179	368	87	163
6427	15652	16630	18389	7996	1908	5804
642757	2	18	9	5	0	4
642776	5	15	4	18	6	20
642778	4	0	2	0	2	0
642799	0	0	0	0	0	0
6428	18745	24337	17025	6435	2568	4546
642819	171	493	526	139	55	172
64282	5262	5333	3561	1947	308	2057
642826	359	456	19	55	14	61
64283	213	1151	413	689	75	1237
64284	25	13	6	91	46	179
642843	31	30	28	16	3	2
642846	566	235	663	102	0	9
64285	188	295	240	727	579	428
642852	12609	20638	11933	3362	602	5232
642864	3	19	5	3	0	3
64288	864	1164	557	1177	287	986
6429	13367	15197	15340	5698	1466	4312
642924	84	68	40	21	4	62
642929	0	0	0	0	4	0
642938	804	1300	1597	252	53	253
642943	0	1	5	0	0	2
642946	14	77	64	35	16	66
642968	3434	2245	1093	12380	1276	10368
642976	54	92	55	33	32	29
642987	346	591	387	519	91	738
643	6	14	6	0	0	4
6430	22506	25218	28077	21550	4208	13610
643008	25	85	43	426	35	118
643036	0	0	1	0	0	0
643037	0	9	0	46	23	56
643072	101	164	90	135	60	113
6431	21106	27588	25777	6956	1768	5438
643155	3420	4412	3190	2097	747	1557
643160	0	0	0	8	0	7
643161	0	0	0	0	0	0
64318	1808	2258	1982	871	290	662
643180	649	682	428	198	65	130
64319	7766	8202	7054	5163	1236	3390
6432	17037	21212	17269	6621	1624	5947
64320	2416	2765	2131	2092	371	1648
643201	26	32	62	87	8	69
64321	121	231	133	148	59	132
643210	21	48	28	26	13	17
643224	54	59	42	96	10	58
643226	2	0	0	0	0	5
643236	37	50	17	6	2	8
64324	19942	27253	17984	4274	920	5791
643246	1871	2373	1743	2281	407	2125
643253	1392	1506	1536	413	98	294
64326	3365	4089	3384	1394	280	1364
64327	8027	10160	6337	5163	889	7000
64328	5014	6107	4913	1793	426	2234
6433	8181	9575	8836	4059	1136	2949
643311	0	0	0	0	0	0
643314	1460	3519	1377	86	60	247
64332	157	390	268	244	172	306
64333	62	101	134	544	110	351
643332	0	0	0	0	0	0
643338	745	1040	771	225	24	273
643339	0	12	5	0	2	0
643355	149	164	69	601	86	583
643365	0	4	0	0	2	0
643376	59	79	46	45	16	40
643382	10	14	32	20	22	24
643387	891	1145	742	163	40	267
643394	5	15	8	20	0	2
6434	18554	22075	16701	6083	1672	5066
643401	0	1	1	0	0	0
643406	64	23	4	6	3	6
643414	0	0	0	0	0	0
643418	0	0	0	0	1	10
64342	697	948	509	1029	480	660
64343	4883	5468	4682	3991	1085	3630
643432	13	30	57	4	0	9
64344	2470	2187	2398	2008	1168	637
643441	2	0	0	0	0	0
643486	0	0	0	2	0	9
643529	4524	5665	3026	494	28	306
643542	21	28	87	1	2	7
64359	4190	6675	4822	702	478	577
643596	65	48	79	49	21	41
643623	0	2	0	0	4	0
643641	4474	5686	4219	2647	609	2342
643648	0	0	0	0	0	0
643650	21	17	0	11	4	25
643664	27	41	24	4	0	8
643669	459	967	733	140	76	88
643677	41	74	23	7	0	22
643680	0	4	0	1	0	7
643699	0	0	0	0	0	0
643707	132	23	12	21	0	0
643711	0	2	2	20	12	67
643714	0	2	2	5	0	0
643719	78	93	158	189	48	99
643723	6	19	11	113	36	24
643733	9	3	5	24	46	73
64374	984	1182	935	1219	406	1059
643749	5846	6378	4626	1078	521	643
64375	4448	5253	3925	1112	304	1245
64376	3263	5514	2426	2768	476	2057
643763	7776	12458	9254	2843	3321	1431
64377	1516	276	479	949	145	752
643770	4	6	16	8	9	10
643783	183	205	145	111	24	135
643802	0	0	0	0	0	0
643803	0	0	0	0	0	0
643812	0	0	0	0	0	0
643827	34	17	19	8	0	0
643834	0	0	0	0	0	0
643836	9247	10349	9892	1629	437	1356
643837	7685	8117	4464	2130	396	3290
643847	0	0	1	0	0	0
643853	265	396	125	55	15	166
643854	2	4	0	0	0	4
64386	528	765	517	138	9	127
643866	40	50	46	203	97	123
64388	919	4263	119	1105	52	1409
6439	2	6	6	2	3	2
643904	18	13	11	0	4	2
643905	0	0	0	0	0	0
643911	85	245	369	36	2	16
643923	71	141	75	10	1	17
64393	1887	3015	1499	7325	2046	10695
64395	1933	2200	1915	1329	309	1054
643955	0	0	0	0	0	0
64396	517	672	498	238	68	305
643965	56	57	71	1163	29	407
64397	10277	14508	10341	10448	2891	15540
643977	14	16	13	65	42	39
64398	2697	5008	3909	4863	929	4576
643988	288	501	263	1657	613	1222
64399	143	211	125	1091	111	1220
644	2881	2962	1919	2412	614	2234
6440	0	1	0	265	53	106
64400	2084	2302	1554	3063	781	2201
644019	85	123	69	98	13	106
64403	4932	9092	10156	1338	349	817
644041	0	0	0	1	0	2
64405	551	2067	2003	4604	492	5921
644050	858	432	329	94	14	112
644054	0	0	0	1	0	0
644068	6565	6640	3225	3585	1786	2284
64407	52	16	40	56	8	16
644070	0	0	0	5	0	14
644076	0	0	0	0	0	0
64409	1881	6810	2029	12664	867	16302
644093	42	60	15	21	1	6
644096	655	640	406	825	182	597
6441	118	91	80	199	67	162
64410	6701	6707	5787	759	220	846
644100	0	2	0	0	0	0
64411	3505	5675	4237	931	172	824
64412	2780	3367	2637	2601	781	2335
644128	2940	3916	2604	1237	213	845
644139	7	8	2	93	13	28
644145	1	0	0	0	0	1
644150	9289	8657	8445	3384	359	3605
644165	25	124	51	30	3	13
644168	2	2	0	217	5	355
64417	668	822	516	810	190	526
644172	0	0	0	0	0	0
64418	3747	3798	3389	1483	530	1245
644186	1	5	0	33	9	3
644189	29	24	5	63	13	64
64419	2657	2916	2317	2242	533	1601
644192	25	52	33	19	27	25
6442	3	13	8	70	135	32
64420	1648	3260	2434	1136	139	1567
64421	3148	4818	3091	592	217	521
644215	153	283	264	61	6	16
64422	3355	3974	3607	4302	906	2949
64423	6579	5799	5340	17123	3156	12376
644242	210	264	99	288	29	232
644246	0	0	0	0	0	0
644248	11	9	5	3	4	11
